question,answer_1,answer_2,answer_3,answer_4,correct_answer,page_id
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
What is Algorithm?,Step by step process,Pictorial Representation,Flow o data,None of the above,Step by step process,2
